,feature,encoding,weight,encoding_orig
90,vectortyp_mittelraum_Schweden,bin,0.012658227848101266,nominal_multi
91,vectortyp_mittelraum_Osmanisches Reich,bin,0.012658227848101266,nominal_multi
92,vectortyp_mittelraum_Österreich,bin,0.012658227848101266,nominal_multi
93,vectortyp_mittelraum_Venezuela,bin,0.012658227848101266,nominal_multi
94,vectortyp_mittelraum_Deutsches Kaiserreich,bin,0.012658227848101266,nominal_multi
95,vectortyp_mittelraum_Lydien,bin,0.012658227848101266,nominal_multi
96,vectortyp_mittelraum_Österreich-Ungarn,bin,0.012658227848101266,nominal_multi
97,vectortyp_mittelraum_Kroatien,bin,0.012658227848101266,nominal_multi
98,vectortyp_mittelraum_Belgien,bin,0.012658227848101266,nominal_multi
99,vectortyp_mittelraum_Böhmen,bin,0.012658227848101266,nominal_multi
100,vectortyp_mittelraum_Mexiko,bin,0.012658227848101266,nominal_multi
101,vectortyp_mittelraum_Bosnien-Herzegowina,bin,0.012658227848101266,nominal_multi
102,vectortyp_mittelraum_Island,bin,0.012658227848101266,nominal_multi
103,vectortyp_mittelraum_Saudi-Arabien,bin,0.012658227848101266,nominal_multi
104,vectortyp_mittelraum_Deutschordensstaat,bin,0.012658227848101266,nominal_multi
105,vectortyp_mittelraum_Himmel,bin,0.012658227848101266,nominal_multi
106,vectortyp_mittelraum_Balkan,bin,0.012658227848101266,nominal_multi
107,vectortyp_mittelraum_Schweiz,bin,0.012658227848101266,nominal_multi
108,vectortyp_mittelraum_Grönland,bin,0.012658227848101266,nominal_multi
109,vectortyp_mittelraum_USA,bin,0.012658227848101266,nominal_multi
110,vectortyp_mittelraum_Hades,bin,0.012658227848101266,nominal_multi
111,vectortyp_mittelraum_Indien,bin,0.012658227848101266,nominal_multi
112,vectortyp_mittelraum_Bithynien,bin,0.012658227848101266,nominal_multi
113,vectortyp_mittelraum_Phönizien,bin,0.012658227848101266,nominal_multi
114,vectortyp_mittelraum_Türkei,bin,0.012658227848101266,nominal_multi
115,vectortyp_mittelraum_Syrien,bin,0.012658227848101266,nominal_multi
116,vectortyp_mittelraum_Kleinarmenien,bin,0.012658227848101266,nominal_multi
117,vectortyp_mittelraum_Deutscher raum,bin,0.012658227848101266,nominal_multi
118,vectortyp_mittelraum_Deutschland,bin,0.012658227848101266,nominal_multi
119,vectortyp_mittelraum_England,bin,0.012658227848101266,nominal_multi
120,vectortyp_mittelraum_Heiliges Römisches Reich [Thüringen|,bin,0.012658227848101266,nominal_multi
121,vectortyp_mittelraum_Atlantik,bin,0.012658227848101266,nominal_multi
122,vectortyp_mittelraum_Ostsee,bin,0.012658227848101266,nominal_multi
123,vectortyp_mittelraum_Deutsch-Ostafrika,bin,0.012658227848101266,nominal_multi
124,vectortyp_mittelraum_Afghanistan,bin,0.012658227848101266,nominal_multi
125,vectortyp_mittelraum_Karibik,bin,0.012658227848101266,nominal_multi
126,vectortyp_mittelraum_Heiliges Römisches Reich [Italien|,bin,0.012658227848101266,nominal_multi
127,vectortyp_mittelraum_Tschechien,bin,0.012658227848101266,nominal_multi
128,vectortyp_mittelraum_Hölle,bin,0.012658227848101266,nominal_multi
129,vectortyp_kleinraum_Merseburg,bin,0.0016181229773462784,nominal_multi
130,vectortyp_kleinraum_None,bin,0.0016181229773462784,nominal_multi
131,vectortyp_kleinraum_Thermopylen,bin,0.0016181229773462784,nominal_multi
132,vectortyp_kleinraum_Karthago,bin,0.0016181229773462784,nominal_multi
133,vectortyp_kleinraum_Aachen,bin,0.0016181229773462784,nominal_multi
134,vectortyp_kleinraum_Bamberg,bin,0.0016181229773462784,nominal_multi
135,vectortyp_kleinraum_Wartburg,bin,0.0016181229773462784,nominal_multi
136,vectortyp_kleinraum_Göllheim,bin,0.0016181229773462784,nominal_multi
137,vectortyp_kleinraum_Windisch,bin,0.0016181229773462784,nominal_multi
138,vectortyp_kleinraum_Freiburg,bin,0.0016181229773462784,nominal_multi
139,vectortyp_kleinraum_Konstanz,bin,0.0016181229773462784,nominal_multi
140,vectortyp_kleinraum_Ziegenhain,bin,0.0016181229773462784,nominal_multi
141,vectortyp_kleinraum_Passau,bin,0.0016181229773462784,nominal_multi
