,id,dist_centroid_manhattan,dist_centroid_euclidean,dist_centroid_cosine,dist_centroid_alldistances,dist_centroid_manhattan_unweighted,dist_centroid_euclidean_unweighted,dist_centroid_cosine_unweighted,dist_centroid_alldistances_unweighted,dist_mean_manhattan,dist_mean_euclidean,dist_mean_cosine,dist_mean_alldistances,dist_mean_manhattan_unweighted,dist_mean_euclidean_unweighted,dist_mean_cosine_unweighted,dist_mean_alldistances_unweighted
1337,1909.Meyer-Frommhold.096,6.20024254573232,1.6133252496722998,0.11135614097948499,0.17504868876746035,25.67683073221017,3.5198749835139753,0.1946495306044378,0.39814379946092965,6.394790687512569,2.3694343767486177,0.2322517296854841,0.3865310816202483,26.924471500083875,4.763665170582415,0.3415318801042053,0.569244794639124
1338,1909.Meyer-Frommhold.098,9.034647376522445,2.2994073975009837,0.2422691291806931,0.47635074796061777,26.484317794533332,3.7161131355037584,0.26657106257091534,0.49755476435204793,9.085982226537501,2.896355303168848,0.3475495510048359,0.5191586426161712,27.324497271532,4.909465513354757,0.4008844255061288,0.6075053432231244
1339,1909.Meyer-Frommhold.099,7.737722725586829,2.0447801600813684,0.18104144013012213,0.34727809249375036,25.599039973359552,3.629269257226711,0.22957806201266528,0.4414426685541324,7.935551092239914,2.7023620465657006,0.2947239471929815,0.4635431500187799,26.755803213311925,4.853963521290299,0.3708979710174788,0.5867149569747626
1340,1909.Meyer-Frommhold.100,10.157827738893625,2.4924096836616463,0.2660897366494047,0.5643591580112393,31.42123195580736,4.227889009491331,0.3139476424132176,0.6662776951226416,10.243498780724032,3.0456903493853957,0.37003258256796434,0.559671170112816,32.40861446507185,5.306363465140005,0.440490541308507,0.6784857414582217
1341,1909.Meyer-Frommhold.101,8.897523059691492,2.3030438468105756,0.27492829811314723,0.4935297526500427,26.753636673534565,3.763620716906447,0.28857380672974065,0.5269000261023337,9.069324236747327,2.9003046061264075,0.3755301592089674,0.5299939901733396,27.846529193457823,4.946549369342949,0.41877809090897056,0.6212740842102383
1342,1909.Meyer-Frommhold.103,8.513304970084418,2.206860159310428,0.20455534432662814,0.4174128054947552,29.15896788255659,3.991639996592753,0.2626176243621229,0.5613335228828906,8.677973603040618,2.8246222735826745,0.315678047943396,0.49412676617680723,30.262088341504644,5.130805889129066,0.398133502700761,0.6357810891900949
1343,1909.Meyer-Frommhold.120,5.323697620482824,1.2712683019357112,0.07873903378530311,0.06588926202171756,19.657973473333502,2.6473059521293605,0.13785059033413982,0.16600632582010552,5.399247619172591,2.1094494955143297,0.20301919958227013,0.33756023324278284,20.691771499517206,4.12819969736275,0.29455182496902443,0.4757214981069807
1344,1909.Meyer-Frommhold.122,7.195652253601078,1.9133125439370682,0.16945099811988595,0.2984931798166238,23.059324824684868,3.2792004865830653,0.1981521084039949,0.3385719405259076,7.3934635135520805,2.5996212364343525,0.28402684130740496,0.4419363438540013,24.26396969771541,4.588526736073666,0.344667589789982,0.5451820827441622
1345,1909.Meyer-Frommhold.128,6.818360351905853,1.7809133292699098,0.15932501848749758,0.2565104564092641,22.7954292111823,3.1003007334107973,0.1750858983663781,0.29387535728457975,6.977103390133314,2.5064881147096156,0.2742425741709329,0.42362093387732785,23.792822548768157,4.464688375818771,0.32557576793510073,0.5269289900998102
1346,1909.Meyer-Frommhold.129,5.6433456412977785,1.3789104717025082,0.10098069598798776,0.10974229925255524,19.36271257659863,2.534866749619989,0.13130661645742514,0.1434840801330599,5.7022472256772705,2.1844039115595524,0.2209407623862592,0.35562629041451854,20.257384945332966,4.057251173244393,0.28883776503438136,0.4667275210453029
1347,1909.Meyer-Frommhold.139,8.351985317742699,2.1938324348927716,0.2025256164723086,0.40808696738462324,23.739703932116,3.3633041325049833,0.20937191865134452,0.3676614458970037,8.538632046110097,2.812787443429991,0.31327614156906786,0.48984864300136327,24.848445769162577,4.650593870842757,0.35401619143787477,0.5564538427642955
1348,1909.Meyer-Frommhold.144,8.21388949588871,2.0585977703002665,0.20900619188288183,0.38529975863975846,23.431148289768444,3.2303163997048907,0.2099371489114482,0.3492815568799368,8.286370390792584,2.7111082165809015,0.3175924006200892,0.4791676747651357,24.294133734584644,4.559302319303722,0.3540486640540559,0.5484674888112647
1349,1909.Meyer-Frommhold.146,6.985055969122754,1.8451244665331663,0.1510569105617433,0.26757615735991247,21.134009509369545,2.9020629981136574,0.15755944112812115,0.23277001575855436,7.158844706551233,2.5501067333841756,0.2684883735222549,0.42797279761087914,22.165321049066755,4.328417212511052,0.3112997152211524,0.502987893595125
1350,1909.Meyer-Frommhold.148,8.03873820275618,2.113596770176965,0.18203670602411526,0.3700925561521213,23.52642841711569,3.3311108030838876,0.19341849408274792,0.34638173402483097,8.231613511594784,2.753179272455143,0.2959518400916744,0.4731454350187537,25.09263005813925,4.6280111571263545,0.3410621024433655,0.5506756232739898
1351,1909.Meyer-Frommhold.150,6.8487565955817535,1.8070019943755717,0.15890892084299668,0.26159372402786074,22.9024715935211,3.1944059558793905,0.19566638149983462,0.32477032177331816,7.06261416164608,2.5242341679132796,0.2750469397436569,0.4268084937055466,24.2873444687327,4.530289156835295,0.3426273683310726,0.5415074971314808
1352,1909.Meyer-Frommhold.155,6.3472733869625335,1.6324126804467938,0.11890375474635928,0.18848741945439848,20.325270770630805,2.8253283270322647,0.14822463567534405,0.2044533833995452,6.537917980246869,2.369315555040649,0.23966117322615121,0.3918744896480728,21.40478050852622,4.257295360498703,0.30362351518667,0.49095298703081136
1353,1909.Meyer-Frommhold.158,6.956675499660128,1.7854505021738367,0.16379759331327537,0.2652293785771764,22.3847686161222,3.011950269636448,0.17227594438951765,0.2758565519420787,7.035764694909541,2.505099710827537,0.2777231806846912,0.4258775844092293,23.358112850226878,4.396520528259914,0.3229665480348972,0.519564027243388
1354,1909.Meyer-Frommhold.159,10.247812157476716,2.537303358425583,0.26145046474800926,0.5718845458110614,27.289904094711925,3.817727007049173,0.2509441708543121,0.5054389725478416,10.327073034023403,3.090212688300397,0.3665275114125188,0.5632562988720894,28.69879240625398,4.994425452697055,0.3889284967581192,0.6146879915102126
