Text;Jahr;Häufigkeit;Ground Truth?;Ground-Truth Quelle/ID
Freytag, Gustav – Der Tod des Bonifatius;1850;1;0;
Freytag, Gustav – Die Sänger des Waldes;1850;1;0;
Freytag, Gustav – Junker Gotthelf Habenichts;1850;1;0;
Fricke, Friedrich Wilhelm – Abdul Meschid’s Reformen;1844;1;0;
Fricke, Friedrich Wilhelm – Deutschlands Feinde;1844;1;0;
Fricke, Friedrich Wilhelm – Die Parade von Rißbach;1844;1;0;
Fricke, Friedrich Wilhelm – Die Zerstörung von Herkulanum und Pompeju;1844;1;0;
Fricke, Friedrich Wilhelm – Napoleon’s Nachtgedanken vor der Schlacht bei Borodino;1844;1;0;
Fricke, Friedrich Wilhelm – Rom’s Abendröthe;1844;1;0;
Friedmann, Alfred – Achills Klage am Meer;1879;1;0;
Friedmann, Alfred – Jos. Führich’s Fahrt nach Rom;1879;1;0;
Friedmann, Alfred – Sempronius Gracchus auf Cercina;1879;1;0;
Friedmann, Alfred – Theano;1879;1;0;
Friedreich, Friedrich – An Deutschlands Söhne in Elsaß und Lothringen;1862;1;0;
Friedreich, Friedrich – Marcus Manlius Capitolinus;1862;1;0;
Friedrichs, Hermann – Schach dem König!;1888;1;0;
Fuchs, Reinhold – Deutsches Flottenlied;1892;1;0;
Fuchs, Reinhold – Wälder der Heimat;1892;1;0;
Gaedcke, Hugo – Der Prinz von Salm;1869;1;0;
Gandersheim, Hrotsvith von – Kaiser Ottos des Großen Versöhnung mit seinem Bruder Heinrich (941);1962;1;0;
Gandersheim, Hrotsvith von – Verschwörung Heinrichs gegen seinen Bruder Otto den Großen (941);1962;1;0;
Gandersheim, Hrotsvith von – Von der Königin Adelheid (951);1962;1;0;
Ganghofer, Ludwig – Das letzte Wort;1889;1;0;
Ganghofer, Ludwig – Die weiße „Goeben“ (Anfang August 1914);1889;1;0;
Ganser, Anton – Herzog Karl von Burgund und die Schweizer;1869;1;0;
Ganzhorn, Wilhelm – Des heil. römischen Reichs Kriegsrüstung;1852;1;0;
Ganzhorn, Wilhelm – Die Nibelungen;1852;1;0;
Gaudy, Alice von – 1899;1897;1;0;
Gaudy, Alice von – Das Siegel von Prag;1897;1;0;
Gaudy, Alice von – Irmingard;1897;1;0;
Gaudy, Alice von – Kaiser Heinrichs VII. Tod;1897;1;0;
Gaudy, Alice von – Ludwig und sein Volk;1885;1;0;
Gaudy, Alice von – Luther und Tajetan;1897;1;0;
Gaudy, Alice von – Noch hab’ ich meine Kronen!;1897;1;0;
Geck, Heinz – Den Toten;1929;1;0;
Geck, Heinz – Feindritt;1929;1;0;
Geibel, Emanuel – Am Jahresschlusse 1866;1849;1;0;
Geibel, Emanuel – An den König von Preußen;1849;1;0;
Geibel, Emanuel – An der Mosel;1849;1;0;
Geibel, Emanuel – An Georg Herwegh;1849;1;0;
Geibel, Emanuel – An Schleswig-Holstein Es ist ein Ruf ins Niederland gekommen;1849;1;0;
Geibel, Emanuel – An Schleswig-Holstein Es sitzt die Zeit am großen Webestuhle;1849;1;0;
Geibel, Emanuel – An Schleswig-Holstein Mich will’s bedünken fast gleich einem Schwanke;1849;1;0;
Geibel, Emanuel – An Schleswig-Holstein O Muttersprache, reichste aller Zungen;1849;1;0;
Geibel, Emanuel – Aperanthos auf Naxos;1849;1;0;
Geibel, Emanuel – Auf der Akropolis zu Athen;1849;1;0;
Geibel, Emanuel – Auf die bei Thermopylä Gefallenen;1849;1;0;
Geibel, Emanuel – Aus Mecklenburg;1849;1;0;
Geibel, Emanuel – Babel;1849;1;0;
Geibel, Emanuel – Bei den Religionswirren in Preußen. 1845;1849;1;0;
Geibel, Emanuel – Der Bildhauer des Hadrian;1849;1;0;
Geibel, Emanuel – Der Tod des Perikles 429;1849;1;0;
Geibel, Emanuel – Deutschlands Beruf;1849;1;0;
Geibel, Emanuel – Die alte Burg;1849;1;0;
Geibel, Emanuel – Die junge Zeit;1847;1;0;
Geibel, Emanuel – Die Thermopylenkämpfer;1849;1;0;
Geibel, Emanuel – Die Türkenkugel. Oktober 1823;1849;1;0;
Geibel, Emanuel – Durch tiefe Nacht;1849;1;0;
Geibel, Emanuel – Ein Lied am Rhein;1849;1;0;
Geibel, Emanuel – Elegie;1849;1;0;
Geibel, Emanuel – Elysium;1849;1;0;
Geibel, Emanuel – Empor!;1849;1;0;
Geibel, Emanuel – Erinnerungen aus Griechenland. Die Nacht war träumerisch;1849;1;0;
Geibel, Emanuel – Erinnerungen aus Griechenland. Wenn auf sonnverbrannten Matten;1849;1;0;
Geibel, Emanuel – Friede;1849;1;0;
Geibel, Emanuel – Gesang der Prätorianer;1849;1;0;
Geibel, Emanuel – Ghasel;1849;1;0;
Geibel, Emanuel – Gruß an das deutsche Kriegsheer;1849;1;0;
Geibel, Emanuel – Halte die Hoffnung fest;1849;1;0;
Geibel, Emanuel – Herakles auf dem Öta;1849;1;0;
Geibel, Emanuel – Im März 1871;1849;1;0;
Geibel, Emanuel – Klage;1850;1;0;
Geibel, Emanuel – Kriegslied [Und wenn uns nichts mehr übrig bliebe];1849;1;0;
Geibel, Emanuel – Maler Hasenklever, den Maler;1849;1;0;
Geibel, Emanuel – Nausikaa;1849;1;0;
Geibel, Emanuel – Ritornelle von griechischen Inseln;1849;1;0;
Geibel, Emanuel – Seid eins!;1849;1;0;
Geibel, Emanuel – Sieg am Eurymedon (469 vor Chr.);1849;1;0;
Geibel, Emanuel – Solon als Gesetzgeber;1849;1;0;
Geibel, Emanuel – Sonette für Schleswig-Holstein. Das Elsaß, roth im Schmuck;1849;1;0;
Geibel, Emanuel – Sonette für Schleswig-Holstein. Der alte Münster spricht;1849;1;0;
Geibel, Emanuel – Sonette für Schleswig-Holstein. Nun sei versiegelt jeder kleine Hader;1849;1;0;
Geibel, Emanuel – Theodor Körner;1849;1;0;
Geibel, Emanuel – Vorwärts! 1867;1849;1;0;
Geißler, Max – Afrikanische Reiterballade;1902;1;0;
Geißler, Max – Bismarck im Berge;1902;1;0;
Geißler, Max – Blüchers Predigt;1902;1;0;
Geißler, Max – Der Schmied von Solingen;1902;1;0;
Geißler, Max – Die Kaiserschmiede von Sedan;1902;1;0;
Geißler, Max – Die Mutter;1902;1;0;
Geißler, Max – Die Schlacht auf dem Schirlenhof;1902;1;0;
Geißler, Max – Die stille Wacht;1902;1;0;
Geißler, Max – Drei gute Kameraden;1902;1;0;
Geißler, Max – Königsdank;1902;1;0;
Geißler, Max – Moltke;1902;1;0;
Geißler, Max – Schandmal;1902;1;0;
Geißler, Max – Und morgen – auf Wiedersehn;1902;1;0;
Geißler, Max – Wer Deutschland trutzt, soll sterben;1902;1;0;
Gensichen, Otto Franz – Hie gut Kameraden allewege;1881;1;0;
Genzmer, Felix – Edda. Das alte Hamdirlied;1912;1;0;
Genzmer, Felix – Edda. Das Hunnenschlachtlied;1912;1;0;
Genzmer, Felix – Edda. Das Thrymlied;1912;1;0;
George, Richard – Der letzte Wunsch;1886;1;0;
George, Stefan – Auf neue Tafeln schrieb der neue Stand;1902;1;0;
George, Stefan – Der Dichter in Zeiten der Wirren;1902;1;0;
George, Stefan – Der Toten Zurückkunft;1902;1;0;
George, Stefan – Ihr baut, Verbrechende …;1902;1;0;
George, Stefan – Sporenwache;1902;1;0;
George, Stefan – Urlandschaft;1902;1;0;
Gering, Hugo – Das alte Atlilied der Edda;1881;1;0;
Gerok, Karl – „Ich sende Euch!“;1849;1;0;
Gerok, Karl – Am Grabmal der Königin Luise;1849;1;0;
Gerok, Karl – An Deutschlands erste Frau, die Kaiserin Auguste Viktoria;1849;1;0;
Gerok, Karl – Aus dem Cevennenkriege;1849;1;0;
Gerok, Karl – Bei Straßburg vor der Schanze;1849;1;0;
Gerok, Karl – Das beste Denkmal;1849;1;0;
Gerok, Karl – Das Lied von Düppel (18. April 1864);1849;1;0;
Gerok, Karl – Das Missionsschiff;1849;1;0;
Gerok, Karl – Der 6. Mai 1882;1849;1;0;
Gerok, Karl – Der Kaiserin Irene letzte Reise. Siehst du auf des Staufens Gipfel;1849;1;0;
Gerok, Karl – Der Kaisermord. 2. Der Todesritt;1849;1;0;
Gerok, Karl – Der Mutterkuß;1849;1;0;
Gerok, Karl – Deutsche Fastenpredigt;1849;1;0;
Gerok, Karl – Deutsche Ostern. (1871);1849;1;0;
Gerok, Karl – Die Bekehrung der Angelsachsen;1849;1;0;
Gerok, Karl – Die Kreuzzüge;1849;1;0;
Gerok, Karl – Die Wittenberger Nachtigall;1849;1;0;
Gerok, Karl – Hohenzollernlied;1849;1;0;
Gerok, Karl – Ich sende euch! (Matth.: 10, 16–20);1849;1;0;
Gerok, Karl – Kaiser Wilhelms Römerfahrt (Konradins Sühne);1849;1;0;
Gerok, Karl – Konradin;1849;1;0;
Gerok, Karl – Luther auf der Veste Koburg;1849;1;0;
Gerok, Karl – Palmen und Eichen;1849;1;0;
Gerok, Karl – Paulus zu Athen;1849;1;0;
Gerok, Karl – Ritter Bayard in Brescia;1849;1;0;
Gerok, Karl – Rom;1849;1;0;
Gerok, Karl – Stephanus;1849;1;0;
Gerok, Karl – Straßburg (28. Sept. 1870);1849;1;0;
Gerok, Karl – Tannhäuser;1867;1;0;
Gerok, Karl – Unser Gelübde;1849;1;0;
Gerok, Karl – Wie Kaiser Karl die Deutschen singen lehrte;1867;1;0;
Gerok, Karl – Zu Karl Hases Doktor-Jubiläum;1849;1;0;
Gerok, Karl – Zu Straßburg auf der Schanz;1849;1;0;
Gerok, Karl – Zum Jahreswechsel;1849;1;0;
Geucke, Kurt – O Deutschland;1898;1;0;
Ginkel, Emil – Skagerrak;1927;1;0;
Ginzkey, Franz Karl – Alrfiesische Sage vom ewigen Recht;1905;1;0;
Ginzkey, Franz Karl – Ballade vom lieben Augustin;1905;1;0;
Ginzkey, Franz Karl – Ballade von den masurischen Seen;1905;1;0;
Ginzkey, Franz Karl – Der schlafende Wagen (1735);1905;1;0;
Ginzkey, Franz Karl – Die Flöte;1905;1;0;
Glomme, E. – Schlachtlied;1862;1;0;
Goebeler, Dorothea – Anna Sydow;1886;1;0;
Goebeler, Dorothea – Das Lied vom roten Prinzen;1886;1;0;
Goedeke, Karl – Drei Sonette an Jakob Grimm über das deutsche Wörterbuch [Du aber sprichst]];1848;1;0;
Goedeke, Karl – Drei Sonette an Jakob Grimm über das deutsche Wörterbuch [Du edler Freund];1848;1;0;
Goedeke, Karl – Drei Sonette an Jakob Grimm über das deutsche Wörterbuch [Jetzt aber schreibst du];1848;1;0;
Goedeke, Karl – Heinrich mit dem goldenen Wagen;1848;1;0;
Goette, Rudolf – Brunhilds Todesklage;1894;1;0;
Goette, Rudolf – Eleonore Prochaska;1894;1;0;
Goette, Rudolf – Im Jahre des Unheils;1894;1;0;
Goette, Rudolf – Zu den Schiffen!;1884;1;0;
Goßmann, Johann Bartholomäus – Die Schlacht am Salzflusse;1845;1;0;
Goßmann, Johann Bartholomäus – Julius Echter von Mespelbrunn;1845;1;0;
Goßmann, Johann Bartholomäus – Krösus und Cyrus;1845;1;0;
Goßmann, Johann Bartholomäus – Tillys Tod;1845;1;0;
Goßmann, Johann Bartholomäus – Walther von der Vogelweide;1845;1;0;
Gottschall, Rudolf von – Abd-el-Kader in Frankreich;1847;1;0;
Gottschall, Rudolf von – Charlotte Ackermann;1857;1;0;
Gottschall, Rudolf von – Freiligrath;1857;1;0;
Gottschall, Rudolf von – H. Heine;1857;1;0;
Gottschall, Rudolf von – Hymne;1857;1;0;
Gottschall, Rudolf von – In trauervollen Tagen;1857;1;0;
Gottschall, Rudolf von – Inkermann;1857;1;0;
Gottschall, Rudolf von – Kant;1857;1;0;
Gottschall, Rudolf von – Kriegslied;1857;1;0;
Gottschall, Rudolf von – Kyffhäuser Thronlied;1857;1;0;
Gottschall, Rudolf von – Reiterlied;1870;1;0;
Gottschall, Rudolf von – Requiem;1857;1;0;
Gottschall, Rudolf von – Schleswig-Holstein an seine Befreier;1857;1;0;
Gottschall, Rudolf von – Zur Feier des Sieges bei Schleswig;1847;1;0;
Graedener, Hermann – Dürer;1912;1;0;
Graedener, Hermann – Nordisch;1912;1;0;
Grazie, Marie Eugenie delle – Germanengebet;1898;1;0;
Greif, Martin – Ariadne auf Naxos;1873;1;0;
Greif, Martin – Auf dem Schlachtfeld von Wörth;1873;1;0;
Greif, Martin – Das Hühnengrab;1873;1;0;
Greif, Martin – Das starke Schloß;1873;1;0;
Greif, Martin – Dem Heldenkaiser;1873;1;0;
Greif, Martin – Der alte Schleswig-Holsteiner;1873;1;0;
Greif, Martin – Der neue Alexander;1873;1;0;
Greif, Martin – Der stumme Kläger;1873;1;0;
Greif, Martin – Der Sunnwendmann;1873;1;0;
Greif, Martin – Die Friedenseiche;1873;1;0;
Greif, Martin – Die Kaiserblume;1873;1;0;
Greif, Martin – Die Kornblume (Zu Kaiser Wilhelms Gedächtnis);1873;1;0;
Greif, Martin – Die Kreuzfahrer auf der Donau;1873;1;0;
Greif, Martin – Die Römerstraße;1873;1;0;
Greif, Martin – Einzugslied (1871);1873;1;0;
Greif, Martin – Frieden (2. März 1871);1873;1;0;
Greif, Martin – Goethe;1873;1;0;
Greif, Martin – Helden;1873;1;0;
Greif, Martin – Kaiser-Hymne;1873;1;0;
Greif, Martin – Königin Luise (Zum 22. März 1897);1873;1;0;
Greif, Martin – Lobgesang auf den Sieg von Sedan;1873;1;0;
Greif, Martin – Rhätischer Grenzlauf;1873;1;0;
Greif, Martin – Sonnwendfeuer;1873;1;0;
Greif, Martin – Walhallas Genosse;1873;1;0;
Greif, Martin – Xenophon;1873;1;0;
Greif, Martin – Zum Sedantage 1880;1873;1;0;
Greif, Martin – Zur Bestattung Bismarcks im Sachsenwalde;1873;1;0;
Greif, Martin – Zur Geburtsfeier Dürers;1873;1;0;
Grieben, H. [Hermann?] – Auf dem alten Zoll;1856;1;0;
Grieben, Hermann – Der Löwenkampf am Dom zu Köln;1856;1;0;
Gries, Wilhelm – Zum 27. Januar;1891;1;0;
Gries, Wilhelm – Zur Feier des hundertjährigen Geburtstages Kaiser Wilhelms I.;1891;1;0;
Grimm, Herman – Die Sage von der Einnahme Pavias;1862;1;0;
Grosse, Martha – Du Kaiserantlitz;1911;1;0;
Grosse, Martha – Patrouille;1911;1;0;
Grote, Hans Henning von – Das Lied von Siegfried;1930;1;0;
Grote, Ludwig – Kanut der Große;1859;1;0;
Grote, Ludwig – St. Kolumbanus;1859;1;0;
Grote, Ludwig – St. Willibrord;1859;1;0;
Groth, Klaus – Bi Idsted;1853;1;0;
Groth, Klaus – De letzte Feide;1853;1;0;
Groth, Klaus – Die Eröffnung des Kaiser Wilhelm-Kanals;1853;1;0;
Groth, Klaus – Frühling 1848;1853;1;0;
Groth, Klaus – Hans Iwer;1853;1;0;
Groth, Klaus – Heinrich von Zütphen;1853;1;0;
Groth, Klaus – Min Modersprak;1853;1;0;
Groth, Klaus – Sommer 1851;1853;1;0;
Groth, Klaus – Ut de ool Krönk. 2. Graaf Geert in Oldenwöörden (1319);1853;1;0;
Groth, Klaus – Ut de ool Krönk. 3. De Holsten in de Hamm (1404);1853;1;0;
Groth, Klaus – Winter 1863;1853;1;0;
Grün, Anastasius – [„Wohl kündet uns die Sage aus grauer Ahnenzeit];1840;1;0;
Grün, Anastasius – Alte Geschichten;1840;1;0;
Grün, Anastasius – An Nikolaus Lenau;1840;1;0;
Grün, Anastasius – Auf dem Schlachtfelde von Aspern;1840;1;0;
Grün, Anastasius – Bei Radetzky’s Bestattung;1840;1;0;
Grün, Anastasius – Belvedere;1840;1;0;
Grün, Anastasius – Das Friedensfest;1840;1;0;
Grün, Anastasius – Das Lied von Lamberg und Pegam;1840;1;0;
Grün, Anastasius – Der Nibelungenvers;1840;1;0;
Grün, Anastasius – Der Schatz zu Burghausen;1840;1;0;
Grün, Anastasius – Der Schluß des Jahres 1706;1840;1;0;
Grün, Anastasius – Deutsche Kaiserkrone;1840;1;0;
Grün, Anastasius – Die heilige Baukunst;1840;1;0;
Grün, Anastasius – Die Spinnerin am Kreuze;1840;1;0;
Grün, Anastasius – Die Warnung;1840;1;0;
Grün, Anastasius – Ein Adler;1840;1;0;
Grün, Anastasius – Epilog zum „letzten Ritter“;1840;1;0;
Grün, Anastasius – Festgruß zum Schützentag in Wien (1866);1840;1;0;
Grün, Anastasius – Freiheitsmonument;1840;1;0;
Grün, Anastasius – Gneisenau in Erfurt;1840;1;0;
Grün, Anastasius – Goethe’s Heimgang (✝︎ d. 22. März 1833);1840;1;0;
Grün, Anastasius – Heinz Wohlleb;1840;1;0;
Grün, Anastasius – Herr Abbé;1840;1;0;
Grün, Anastasius – Herzogstuhl und Fürstenstein;1840;1;0;
Grün, Anastasius – Illyrien;1840;1;0;
Grün, Anastasius – Joseph II.;1840;1;0;
Grün, Anastasius – Kaiser Josef II.;1840;1;0;
Grün, Anastasius – Kaiser Max und Albrecht Dürer [Es ward Herr Albrecht Dürer / Dem Kaiser Max genannt];1840;1;0;
Grün, Anastasius – Kunz von der Rosen;1840;1;0;
Grün, Anastasius – Lamberg und Pegam;1840;1;0;
Grün, Anastasius – Maximilian I. zu Brügge;1840;1;0;
Grün, Anastasius – Napoleon im Thiergarten zu Schönbrunn;1840;1;0;
Grün, Anastasius – Poesie des Dampfes;1840;1;0;
Grün, Anastasius – Sein Bild;1840;1;0;
Grün, Anastasius – Statue Josephs II.;1840;1;0;
Grün, Anastasius – Tempel und Münster;1840;1;0;
Grün, Anastasius – Todesahnung;1840;1;0;
Grün, Anastasius – Trithemius;1840;1;0;
Grün, Anastasius – Unsere Zeit;1840;1;0;
Grün, Anastasius – Warum?;1840;1;0;
Grün, Anastasius – Zenta;1840;1;0;
Günther, Karl Friedrich – Die Wächter;1841;1;0;
Günther, Karl Friedrich – Kaiser Rudolf und der Gerber;1841;1;0;
Günther, Karl Friedrich – Lothar und Teutberge;1841;1;0;
Günther, Karl Friedrich – Moritz von Oranien vor Nimwegen;1841;1;0;
Günther, Karl Friedrich – Oranien’s ABC;1841;1;0;
Günther, Karl Friedrich – Prinz Moritz von Oranien vor Nimwegen;1841;1;0;
Günther, Karl Friedrich – Soliman vor Osen;1841;1;0;
Güntter, Otto von – Zum Gedächtnis König Karls von Württemberg;1886;1;0;
Gutzkow, Karl – An F. D. Strauß;1845;1;0;
Gutzkow, Karl – An Franz Dingelstedt;1845;1;0;
Gutzkow, Karl – An Georg Herwegh;1845;1;0;
Gutzkow, Karl – Börne’s Tod;1845;1;0;
Gutzkow, Karl – Ich protestire nicht;1845;1;0;
Gutzkow, Karl – Immermanns früher Tod;1845;1;0;
Gutzkow, Karl – Jenaer Ersatz;1845;1;0;
Gutzkow, Karl – Lenau;1845;1;0;
Gutzkow, Karl – Schleiermacher;1845;1;0;
Haaß, Robert – Dem Vater des Vaterlandes;1881;1;0;
Häckermann, Adolf – Bineta;1854;1;0;
Häckermann, Adolf – Der Friede zu Stralsund;1854;1;0;
Häckermann, Adolf – Die Uebergabe von Metz;1854;1;0;
Häckermann, Adolf – Flouchez toujours!;1854;1;0;
Häckermann, Adolf – Markgraf Albrecht Alcibiades;1854;1;0;
Hafner, Tobias – Champigny;1867;1;0;
Halm, Friedrich – An Ludwig Löwe;1840;1;0;
Halm, Friedrich – Beim Tode Lenau’s;1840;1;0;
Halm, Friedrich – Friedrich mit der gebissenen Wange (1257);1840;1;0;
Halm, Friedrich – Prolog zur Säcularfeier der Gründung des militärischen Maria Theresien-Ordens;1840;1;0;
Haltaus, Karl – Cäsars Tod;1845;1;0;
Haltaus, Karl – Der falsche Waldemar;1845;1;0;
Haltaus, Karl – Germania;1845;1;0;
Hamerling, Robert – Das Nordpolgrab;1864;1;0;
Hamerling, Robert – Der Brand Roms;1864;1;0;
Hamerling, Robert – Ein deutscher Admiral;1864;1;0;
Hamerling, Robert – Friedrich Helm;1864;1;0;
Hamerling, Robert – Für eine Studentenvorstellung in Graz;1864;1;0;
Hamerling, Robert – St. Basilius in der Hölle;1864;1;0;
Hamerling, Robert – Vaterlandslied;1864;1;0;
Hamerling, Robert – Zur Feier der silbernen Hochzeit Ihrer Maj. des Kaisers Franz Josef I. und der Kaiserin Elisabeth am 24. April 1879;1864;1;0;
Handel-Mazetti, Enrica von – Wolf Händel;1905;1;0;
Hartmann, Alfred – Nach der Schlacht bei Bibrakte. 58 v. Chr.;1848;1;0;
Hartmann, Alfred – Orgetorix (58 vor Chr.);1848;1;0;
Hartmann, Hermann – Wittekind;1860;1;0;
Hartmann, Moriz – Des Kaisers Geist;1855;1;0;
Hatzfeld, Adolf von – Die letzte Nacht;1926;1;0;
Hatzfeld, Adolf von – Sinnlose Zeit;1926;1;0;
Haupt, Otto – Das Tedeum;1858;1;0;
Hauptmann, Gerhart – Reiterlied;1896;1;0;
Haushofer, Albrecht – Schuld (1945);1937;1;0;
Hebbel, Friedrich – Das alte Haus;1847;1;0;
Hebbel, Friedrich – Das Kind;1847;1;0;
Hebbel, Friedrich – Der Heideknabe;1847;1;0;
Hebbel, Friedrich – Die Schlacht bei Hemmingstedt;1847;1;0;
Hebbel, Friedrich – Kleist;1847;1;0;
Heidt – Brutus;1900;1;0;
Heine, Heinrich – Das Sklavenschiff;1853;1;0;
Heine, Heinrich – Erinnerung aus Krähwinkels Schreckenstagen (um 1830);1854;1;0;
Heitemeyer, Ferdinand – Die Eresburg;1862;1;0;
Helena, Herzogin von Orleans – Musik;1848;1;0;
Helmers, Heinrich – Maria Theresia in Preßburg;1881;1;0;
Henckell, Karl – Das Lied vom Arbeiter;1898;1;0;
Herrig, Hans – Kaiser Heinrichs VI. Tod;1879;1;0;
Herrig, Hans – König Otto’s I. Krönung (936);1879;1;0;
Herrmann, Georg – Zum Geburtstage unsers Kaisers;1894;1;0;
Hertz, Wilhelm – Alboins Ende;1858;1;0;
Hertz, Wilhelm – Albwin der Langobarde;1869;1;0;
Hertz, Wilhelm – Ein Tagelied;1869;1;0;
Hertz, Wilhelm – König Haddings Herz wird müde;1869;1;0;
Herwegh, Georg – An den König von Preußen;1851;1;0;
Herwegh, Georg – Arndts Wiedereinsetzung (Im Jahre 1840);1842;1;0;
Herwegh, Georg – Das freie Wort;1851;1;0;
Herwegh, Georg – Dem deutschen Volk;1842;1;0;
Herwegh, Georg – Der Gefangene;1851;1;0;
Herwegh, Georg – Epilog zum Krieg;1851;1;0;
Herwegh, Georg – Herr Wilhelm;1851;1;0;
Herwegh, Georg – Mein Deutschland;1851;1;0;
Herwegh, Georg – Metternich;1851;1;0;
Herwegh, Georg – Wer ist frei?;1842;1;0;
Herwig, Franz – Die Freiwilligen;1914;1;0;
Herzog, Rudolf – In der Schlacht;1903;1;0;
Herzog, Rudolf – Litzmann (21. bis 24. November 1914);1903;1;0;
Herzog, Rudolf – Ostpreußisch;1903;1;0;
Herzog, Rudolf – Rheinischer Landsturm im Felde;1903;1;0;
Herzog, Rudolf – Zwischen Metz und den Vogesen;1903;1;0;
Hesekiel, George – Borussia auf See;1853;1;0;
Hesekiel, George – Das Begräbnis Bogislavs XIV.;1853;1;0;
Hesekiel, George – Das erste Blut;1853;1;0;
Hesekiel, George – Das Königsdenkmal in Berlin (König Friedrich Wilhelm IV. 1840 bis 1861);1853;1;0;
Hesekiel, George – Das Lied vom braven Kürassier 1795;1853;1;0;
Hesekiel, George – Der 10. Juli 1870;1853;1;0;
Hesekiel, George – Der 29. Juni 1864;1853;1;0;
Hesekiel, George – Der alte Vourdiere;1846;1;0;
Hesekiel, George – Der große Kurfürst;1846;1;0;
Hesekiel, George – Der große Kurfürst bei Warschau;1853;1;0;
Hesekiel, George – Der große Kurfürst und Henning von Treffenfeld;1853;1;0;
Hesekiel, George – Der grüne Sarg;1853;1;0;
Hesekiel, George – Der Herzog von Vitry;1846;1;0;
Hesekiel, George – Der Hunderkanonentag;1853;1;0;
Hesekiel, George – Der Prinz von Preußen in Baden;1853;1;0;
Hesekiel, George – Der Regenbogen. 1870;1853;1;0;
Hesekiel, George – Der Sieg bei Wörth;1853;1;0;
Hesekiel, George – Der Sieger von Beaumont;1853;1;0;
Hesekiel, George – Der Sohn der Wittwe;1853;1;0;
Hesekiel, George – Des großen Kurfürsten erste Gemahlin;1853;1;0;
Hesekiel, George – Des Königs Aufruf;1853;1;0;
Hesekiel, George – Die Drei;1846;1;0;
Hesekiel, George – Die Erstürmung von Gitschin;1853;1;0;
Hesekiel, George – Die Fahne von des Königs Regiment. I. der Junker II. der Bürger;1846;1;0;
Hesekiel, George – Die märkischen Bauern (1675);1853;1;0;
Hesekiel, George – Drei rothe Juniuslieder. Das erste Blut (26. Juni 1866);1853;1;0;
Hesekiel, George – Drei rothe Juniuslieder. Die Garde bei Trautenau (28. Juni 1866);1853;1;0;
Hesekiel, George – Drei rothe Juniuslieder. Steinmetz-Lied (27., 29. Juni 1866);1853;1;0;
Hesekiel, George – Fünf Schüsse – Ein Zeichen;1853;1;0;
Hesekiel, George – General Wrangel, 1848;1853;1;0;
Hesekiel, George – Heinrich VII.;1853;1;0;
Hesekiel, George – Hennig von Treffenfeld;1853;1;0;
Hesekiel, George – Johann Georg auf der Lochauer Heide;1853;1;0;
Hesekiel, George – Kaiser Heinrichs VII. Tod;1853;1;0;
Hesekiel, George – König Wilhelm in der Gruft zu Charlottenburg (19. Juli 1870);1853;1;0;
Hesekiel, George – Krieg mit Polen;1853;1;0;
Hesekiel, George – Krieg mit Schweden;1853;1;0;
Hesekiel, George – Kronprinz Albert von Sachsen;1853;1;0;
Hesekiel, George – Kurprinz Friedrich Wilhelm;1853;1;0;
Hesekiel, George – Napoleon vor Vitry;1853;1;0;
Hesekiel, George – Prinz Friedrich Karl vor Missunde;1853;1;0;
Hesekiel, George – Sarg und Wiege;1853;1;0;
Hesekiel, George – Schlacht bei Warschau (28.–30. Juli 1656);1853;1;0;
Hesekiel, George – Ueber die Schley und weiter;1853;1;0;
Hesekiel, George – Unser erster Seesieg;1853;1;0;
Hesekiel, George – Warum der große Kurfürst souverainer Herzog in Preußen und nicht König von Polen werden wollte;1853;1;0;
Hesekiel, George – Wie der große Kurfürst an die märkischen Bauern schrieb;1853;1;0;
Hesekiel, George – Wie der große Kurfürst den Schweden zeigt, was eine Harke ist;1853;1;0;
Hesekiel, George – Wie der große Kurfürst flüchtig ward;1853;1;0;
Hesekiel, George – Wir waren so flink da!;1853;1;0;
Hesekiel, George – Zu Charlottenburg;1853;1;0;
Hesekiel, George – Zwei Mann von Düppel;1853;1;0;
Heubner, Rudolf – Bei belle-Alliance;1901;1;0;
Heubner, Rudolf – Vor Leipzigs Toren;1901;1;0;
Heym, Georg – Columbus (1492);1911;1;0;
Heyse, Paul – An Beethoven;1864;1;0;
Heyse, Paul – Bismarck-Lied;1864;1;0;
Heyse, Paul – Das Festmahl des Alten;1864;1;0;
Heyse, Paul – Die Mutter des Siegers;1864;1;0;
Heyse, Paul – Schlacht bei Bornhövede (1227);1864;1;0;
Hille, Peter – Arnold Böcklin;1888;1;0;
Hirsch, Franz – Dem Kaiser;1878;1;0;
Hirsch, Rudolf – Graf O’Donell;1850;1;0;
Hirsch, Rudolf – Heinrich IV. und der Ritter (Um 1075);1850;1;0;
Hirsch, Rudolf – Karl Albert und Radetzky;1850;1;0;
Hirsch, Rudolf – Radetzky;1850;1;0;
Hobein, Eduard – Die Schlacht auf dem Smilower Felde;1851;1;0;
Hobein, Eduard – Gottschalk, Fürst der Abokriten;1851;1;0;
Hobein, Eduard – Kannt Laward;1851;1;0;
Hobein, Eduard – Karls Kaiserkrönung;1851;1;0;
Hobein, Eduard – Moltke bei Gravelotte;1851;1;0;
Hobein, Eduard – Schwerins erster Sieg;1851;1;0;
Hocker, Nikolaus – Albrecht von Brandenburg und die Trierer Rathsherrn;1856;1;0;
Hocker, Nikolaus – Alexander Kaufmann;1856;1;0;
