index,author,author_gnd,author_gnd_available,dnb_gender,dnb_birth,dnb_death,dnb_countries,dnb_occupations,dnb_occupations_count
12576,"Evers, K.",,False,,,,,,
12588,"Dieffenbach, Georg Christian",http://d-nb.info/116100249,True,male,1822.0,1901.0,Deutschland (XA-DE),Evangelischer Theologe + Pfarrer,2.0
12590,"Trummer, L.",,False,,,,,,
12592,"Gestell, A.",,False,,,,,,
12595,"Dachröden, E. von",,False,,,,,,
12600,"Wothe, J.",,False,,,,,,
12606,"Baier, Friedrich",,False,,,,,,
12609,Schneider,,False,,,,,,
12614,"Roëll, Paul von",,False,,,,,,
12616,"Stillfried-Alcántara, Karl Graf",,False,,,,,,
12624,"Raabe, Berthold",,False,,,,,,
12632,"Mittelbach, A.",,False,,,,,,
12633,"Sachisthal, Otto",,False,,,,,,
12635,"Schauenburg, Eduard",http://d-nb.info/132648075,True,,1821.0,1901.0,Deutschland (XA-DE),Pädagoge,1.0
12637,"Aldenhoven, Karl",(?) http://d-nb.info/115755985,True,male,1812.0,1882.0,Deutschland (XA-DE),Gymnasiallehrer + Klassischer Philologe,2.0
12640,"Willich, G. von",,False,,,,,,
12644,S.,,False,,,,,,
12645,"Becker, Karl",,False,,,,,,
12648,"Hanstein, Adalbert von",http://d-nb.info/116461381,True,male,1861.0,1904.0,Deutschland (XA-DE),Schriftsteller + Dramatiker + Lyriker + Literarhistoriker,4.0
12650,"Böttcher, K.",,False,,,,,,
12651,"Strachwitz, Nora von",,False,,,,,,
12652,"Runkel, F.",,False,,,,,,
12675,"Diepenbrock, Melchior",(?) http://d-nb.info/118678302,True,male,1798.0,1853.0,Deutschland (XA-DE),Kardinal + Katholischer Theologe + Fürstbischof + Priester + Übersetzer + Schriftsteller,6.0
12690,"Leo, W.",,False,,,,,,
12694,"Lange, Hugo",,False,,,,,,
12695,"Schreiber, A. W.",,False,,,,,,
12696,"Rochlitz, B.",,False,,,,,,
12713,"Müller, Wolfgang",,False,,,,,,
12737,"Thiele, H.",,False,,,,,,
12739,"Lucae, Karl",https://d-nb.info/gnd/11725939X,True,male,1833.0,1888.0,Deutschland (XA-DE),Philologe + Germanist,2.0
12791,"Christ, E.",,False,,,,,,
12792,"Rochlitz, F.",,False,,,,,,
12795,"Spee, Fr. von",(?) http://d-nb.info/11861598X,True,male,1591.0,1635.0,Deutschland (XA-DE),Katholischer Theologe + Hochschullehrer + Ordenspriester + Kirchenlieddichter + Komponist + Autor,6.0
12816,"Weiße, Christian Felix",http://d-nb.info/118630563,True,male,1726.0,1804.0,Deutschland (XA-DE),Schriftsteller + Übersetzer + Jugendbuchautor + Steuereinnehmer + Redakteur,5.0
12821,Hensinger,,False,,,,,,
12825,"Kant, J.",,False,,,,,,
12847,"Braun, Friedrich",,False,,,,,,
12852,"Frahm, Ludwig",http://d-nb.info/116692251,True,male,1856.0,1936.0,Deutschland (XA-DE),Lehrer,1.0
12859,"Frank, Richard",,False,,,,,,
12873,"Petersen, Albert",,False,,,,,,
12877,"Vierordt, Heinrich",http://d-nb.info/119034956,True,male,1855.0,1945.0,Deutschland (XA-DE),Schriftsteller + Hofrat + Germanist + Schriftsteller + Lyriker,5.0
12902,"Reuter, Wilhelm",http://d-nb.info/1032982888,True,male,1833.0,1898.0,Deutschland (XA-DE),Pädagoge + Schriftsteller,2.0
12905,"Roller, Christian",http://d-nb.info/1102220639,True,male,1840.0,,Deutschland (XA-DE),Lyriker + Lehrer,2.0
12910,"Heitemeyer, Ferdinand",http://d-nb.info/116676922,True,male,1828.0,1892.0,Deutschland (XA-DE),Pfarrer + Katholischer Theologe + Schriftsteller,3.0
12916,"Hobein, Eduard",http://d-nb.info/116918063,True,male,1817.0,1882.0,Deutschland (XA-DE),Jurist + Rechtsanwalt + Mundartschriftsteller + Schriftsteller + Dramatiker + Hofrat,6.0
12918,"Koenemann, Dietrich",,False,,,,,,
12947,"Renaud, Theodor",http://d-nb.info/1044098228,True,male,1844.0,1910.0,Deutschland (XA-DE) + Frankreich (XA-FR),Schulrat + Redakteur + Schriftsteller + Pfarrer,4.0
12959,"Beilhack, Max",http://d-nb.info/116112816,True,male,1835.0,1885.0,Deutschland (XA-DE),Schriftsteller + Pädagoge,2.0
12963,"Schleinitz, Alexandra von",http://d-nb.info/117323969,True,female,1842.0,1901.0,Deutschland (XA-DE) + Italien (XA-IT),Schriftstellerin,1.0
12966,"Schüler, August",http://d-nb.info/116692715,True,male,1827.0,1904.0,Deutschland (XA-DE),Pfarrer + Schriftsteller,2.0
12979,"Haushofer, Max",http://d-nb.info/11936803X,True,male,1840.0,1907.0,Deutschland (XA-DE),Volkswirt + Statistiker + Schriftsteller + Politiker + Hochschullehrer,5.0
12980,"Hopfen, Hans von",http://d-nb.info/gnd/116981385,True,male,1835.0,1904.0,Deutschland (XA-DE) + Österreich (XA-AT),Schriftsteller + Jurist,2.0
12988,"Mindermann, Marie",http://d-nb.info/117047872,True,female,1808.0,1882.0,Deutschland (XA-DE),Schriftstellerin,1.0
12996,"Rommel, Ernst",,False,,,,,,
12997,"Weinholz, Albert",http://d-nb.info/117269395,True,male,1822.0,1901.0,Deutschland (XA-DE),Schriftsteller,1.0
13000,"Müller, Moritz",http://d-nb.info/117602442,True,male,1806.0,1886.0,Deutschland (XA-DE),Pfarrer + Prediger + Autor,3.0
13011,"Herrig, Hans",http://d-nb.info/116745738,True,male,1845.0,1892.0,Deutschland (XA-DE),Schriftsteller + Dramatiker,2.0
13014,"Allmers, Hermann",http://d-nb.info/118502107,True,male,1821.0,1902.0,Deutschland (XA-DE),Schriftsteller + Geograf + Landwirt + Historiker,4.0
13024,"Salis, Meta von",http://d-nb.info/118811932,True,female,1855.0,1929.0,Schweiz (XA-CH),Philologin,1.0
13068,"Gollinger, Joseph",http://d-nb.info/1038166519,True,male,1791.0,1832.0,Tschechische Republik (XA-CZ),Priester + Schriftsteller,2.0
13083,"Berke, Philipp",http://d-nb.info/116134909,True,male,1844.0,1898.0,Deutschland (XA-DE),Publizist + Kritiker + Schriftsteller,3.0
13091,"Geertz, Wilhelm",,False,,,,,,
13096,"Sternau, Edmund",,False,,,,,,
13123,"Berthold, Luise",,False,,,,,,
13130,"Schäfer, Karl",http://d-nb.info/124116728,True,male,1849.0,1915.0,Deutschland (XA-DE),Schriftsteller + Heimatschriftsteller + Erzähler + Lehrer,4.0
13131,"Oertzen, Georg von",http://d-nb.info/117106534,True,male,1829.0,1910.0,Deutschland (XA-DE),Schriftsteller + Konsul + Diplomat,3.0
13150,"Amyntor, Gerhard von",http://d-nb.info/116302712,True,male,1831.0,1910.0,Deutschland (XA-DE) + Polen (XA-PL),Schriftsteller + Soldat,2.0
13159,"Hosäus, Wilhelm",http://d-nb.info/117012017,True,male,1827.0,1900.0,Deutschland (XA-DE),Bibliothekar + Schriftsteller + Theologe,3.0
13163,"Hensing, Ernst",,False,,,,,,
13180,"Mallerbrein, Franz",,False,,,,,,
13181,"Niffel, Karl",,False,,,,,,
13207,"Schiller, Johannes",http://d-nb.info/120558416,True,male,1812.0,1886.0,Deutschland (XA-DE),Theologe + Pfarrer + Schriftsteller,3.0
13215,"Helmers, Heinrich",http://d-nb.info/1034909746,True,male,1847.0,1908.0,Deutschland (XA-DE),Kaufmann + Lyriker + Schriftsteller,3.0
13232,"Boetticher, Georg",http://d-nb.info/11622651X,True,male,1849.0,1918.0,Deutschland (XA-DE),Grafiker + Zeichner + Schriftsteller,3.0
13234,"Disselhof, Julius",http://d-nb.info/116139390,True,male,1827.0,1896.0,Deutschland (XA-DE),Evangelischer Theologe + Pfarrer + Direktor,3.0
13281,"Pfau, Ludwig",http://d-nb.info/118826948,True,male,1821.0,1894.0,Deutschland (XA-DE),Schriftsteller + Lyriker + Übersetzer + Publizist + Kunstkritiker,5.0
13298,"Ladurner, Alois",,False,,,,,,
13308,"Schönborn, Klara",,False,,,,,,
13323,"Häckermann, Adolf",http://d-nb.info/10431298X,True,male,1819.0,1891.0,Deutschland (XA-DE),Oberlehrer + Pädagoge,2.0
13330,"Peist, Hermann",http://d-nb.info/116074248,True,male,1835.0,1869.0,Deutschland (XA-DE),,
13357,"Gülich, Theodor",http://d-nb.info/116909463,True,male,1801.0,1877.0,Deutschland (XA-DE),Jurist + Rechtsanwalt + Abgeordneter,3.0
13359,"Trede, Paul",http://d-nb.info/118760793,True,male,1829.0,1908.0,Deutschland (XA-DE),Schriftsteller,1.0
13361,"Kirchhoff, Christian",http://d-nb.info/117519839,True,male,1822.0,1894.0,Deutschland (XA-DE),Philologe + Theologe + Schriftsteller + Gymnasiallehrer,4.0
13362,"Fehrs, Johann Hinrich",http://d-nb.info/118532235,True,male,1838.0,1916.0,Deutschland (XA-DE),Schriftsteller + Lyriker + Lehrer + Schulleiter,4.0
13364,"Scherenberg, Ernst",http://d-nb.info/117218189,True,male,1839.0,1905.0,Deutschland (XA-DE),Schriftsteller + Redakteur + Lyriker + Unternehmer,4.0
13365,"Dücker, Johann Friedrich",http://d-nb.info/1055119256,True,male,1826.0,1917.0,Deutschland (XA-DE),Pädagoge + Schriftsteller,2.0
13380,"Monsterberg, Eugenie von",http://d-nb.info/117127728,True,female,1836.0,,Deutschland (XA-DE),Schriftstellerin,1.0
13382,"Bauer, Ludwig",http://d-nb.info/119234149,True,male,1832.0,1910.0,Deutschland (XA-DE),Pädagoge + Philologe + Schriftsteller,3.0
13391,"Duill, Gustav",http://d-nb.info/117413526,True,male,1825.0,1892.0,Deutschland (XA-DE),Schriftsteller + Jurist,2.0
13403,"Horsky, B.",,False,,,,,,
13409,"Fischer, Karl Wilhelm Theodor",http://d-nb.info/104967250X,True,male,1840.0,1922.0,Deutschland (XA-DE),Schriftsteller + Lyriker,2.0
13410,"Hafner, Tobias",http://d-nb.info/143962264,True,male,1833.0,1921.0,Deutschland (XA-DE),Mundartschriftsteller + Schriftsteller + Lehrer + Pädagoge,4.0
13411,"Büttner, Max",,False,,,,,,
13415,"Feddersen, Friedrich August",http://d-nb.info/116425962,True,male,1838.0,1908.0,Deutschland (XA-DE),,
13422,"Schwetschke, Eugen",http://d-nb.info/117423939,True,male,1844.0,1914.0,Deutschland (XA-DE),Schriftsteller + Buchhändler,2.0
13425,"Goebeler, Dorothea",http://d-nb.info/116698713,True,female,1867.0,1945.0,Deutschland (XA-DE),Schriftstellerin + Redakteurin,2.0
13426,"Weck, Gustav",http://d-nb.info/117177954,True,male,1842.0,1919.0,Deutschland (XA-DE),Schriftsteller + Lehrer + Pädagoge + Schulleiter,4.0
13429,"George, Richard",,False,,,,,,
13435,"Güntter, Otto von",http://d-nb.info/119438607,True,male,1858.0,1949.0,Deutschland (XA-DE),Literarhistoriker + Germanist + Schriftsteller,3.0
13438,"Martin, W.",,False,,,,,,
13448,"Veit, Ernst",http://d-nb.info/117215848,True,male,1827.0,1896.0,Deutschland (XA-DE),Schriftsteller + Lehrer + Schulleiter,3.0
13514,"Palmer, Albert",,False,,,,,,
13518,"Brandes, Wilhelm",http://d-nb.info/116402113,True,male,1854.0,1928.0,Deutschland (XA-DE),Philologe + Schriftsteller + Pädagoge + Schulleiter,4.0
13529,"Opel, Wilhelm",,False,,,,,,
13531,"Finelius, Hermann",http://d-nb.info/135989140,True,,1819.0,1849.0,Deutschland (XA-DE),Schriftsteller,1.0
13537,"Woeniger, Julius",http://d-nb.info/117456004,True,male,1824.0,1882.0,Deutschland (XA-DE),Pädagoge + Schriftsteller + Tierschützer,3.0
13546,"Kampmann, Friedrich",http://d-nb.info/116038519,True,male,1828.0,1902.0,Deutschland (XA-DE),Schriftsteller,1.0
13547,"Lyon, Otto",http://d-nb.info/117332232,True,male,1853.0,1912.0,Deutschland (XA-DE),Germanist + Literarhistoriker + Pädagoge + Gymnasiallehrer + Schulrat,5.0
13548,"Efendi, Murad",http://d-nb.info/104073454,True,male,1836.0,1881.0,Österreich (XA-AT) + Deutschland (XA-DE) + Türkei (XB-TR) + Niederlande (XA-NL),Diplomat + Schriftsteller,2.0
13549,"Jäger, Hermann",http://d-nb.info/117610720,True,male,1815.0,1890.0,Deutschland (XA-DE),Gartenarchitekt + Gärtner + Schriftsteller,3.0
13571,"Petersen, Ingwer",,False,,,,,,
13572,"Ahrens, Jürgen Friedrich",http://d-nb.info/116272252,True,male,1834.0,1914.0,Deutschland (XA-DE),Lehrer + Schriftsteller,2.0
13575,"Meyer, Johann Hinrich Otto",http://d-nb.info/117562114,True,male,1829.0,1904.0,Deutschland (XA-DE),Schriftsteller + Journalist,2.0
13576,"Liliencron, Detlev von",http://d-nb.info/118572954,True,male,1844.0,1909.0,Deutschland (XA-DE),Schriftsteller + Librettist,2.0
13580,"Groth, Klaus",http://d-nb.info/118542699,True,male,1819.0,1899.0,Deutschland (XA-DE),Schriftsteller + Literarhistoriker + Germanist + Lehrer + Librettist,5.0
13582,"Auch, August",http://d-nb.info/117765899,True,male,1817.0,1895.0,Deutschland (XA-DE),Schriftsteller,1.0
13604,"Ganser, Anton",,False,,,,,,
13605,"Schottin, Friedrich",http://d-nb.info/117008206,True,male,1789.0,1866.0,Deutschland (XA-DE),Evangelischer Theologe + Pfarrer + Schriftsteller,3.0
13638,"Stieler, Karl",http://d-nb.info/118618113,True,male,1842.0,1885.0,Deutschland (XA-DE),Mundartschriftsteller + Archivar + Jurist + Schriftsteller,4.0
13690,"Grieben, H. [Hermann?]",(?) http://d-nb.info/116833882,True,male,1822.0,1890.0,Deutschland (XA-DE),Schriftsteller + Romanist + Redakteur + Philologe,4.0
13713,"Volckmann, R.",,False,,,,,,
13717,"Hoffs, Friedrich van",http://d-nb.info/118706020,True,male,1843.0,1919.0,Deutschland (XA-DE),Gymnasiallehrer,1.0
13722,"Tetzner, Franz",http://d-nb.info/101238630,True,male,1863.0,1919.0,Deutschland (XA-DE),Ethnologe + Germanist + Schriftsteller + Lehrer,4.0
13724,"Zettel, Karl",http://d-nb.info/104221852,True,male,1831.0,1904.0,Deutschland (XA-DE),Schriftsteller + Gymnasiallehrer,2.0
13792,"Wichmann, Franz",http://d-nb.info/117336033,True,male,1859.0,1923.0,Schweiz (XA-CH) + Deutschland (XA-DE),Schriftsteller,1.0
13795,"Fuchs, Reinhold",http://d-nb.info/116844736,True,male,1858.0,1938.0,Deutschland (XA-DE),Schriftsteller + Lyriker + Lehrer + Privatgelehrter,4.0
13834,"Laistner, Ludwig",http://d-nb.info/116648163,True,male,1845.0,1896.0,Deutschland (XA-DE),Schriftsteller + Literarhistoriker,2.0
13882,"Ohorn, Anton",http://d-nb.info/117112518,True,male,1846.0,1924.0,Tschechische Republik (XA-CZ) + Deutschland (XA-DE),Schriftsteller + Gymnasiallehrer + Literarhistoriker + Priester,4.0
13919,Daller,,False,,,,,,
13937,"Zerbst, Max",http://d-nb.info/116983019,True,male,1863.0,1939.0,Deutschland (XA-DE),Schriftsteller,1.0
13958,"Rohrscheidt, Kurt von",http://d-nb.info/116599391,True,male,1857.0,1935.0,Deutschland (XA-DE),Jurist + Schriftsteller,2.0
13959,"Meerheimb, Richard von",http://d-nb.info/116990716,True,male,1825.0,1896.0,Deutschland (XA-DE),Schriftsteller + Dramatiker + Offizier,3.0
13969,"Zincgref, Julius Wilhelm",http://d-nb.info/11885870X,True,male,1591.0,1635.0,Deutschland (XA-DE),Schriftsteller,1.0
14005,"Moras, August",,False,,,,,,
14046,"Herbart, J. F.",(?) http://d-nb.info/11854943X,True,male,1776.0,1841.0,Deutschland (XA-DE),Philosoph + Psychologe + Hochschullehrer + Pädagoge,4.0
14107,"Weddigen, Otto",http://d-nb.info/117178519,True,male,1851.0,1940.0,Deutschland (XA-DE),Schriftsteller + Oberlehrer + Literaturwissenschaftler,3.0
14152,"Barthel, Karl",(?) http://d-nb.info/116068418,True,male,1817.0,1853.0,Deutschland (XA-DE),Prediger + Literarhistoriker + Lehrer + Theologe,4.0
14160,Wilhelm I.,https://d-nb.info/gnd/118632884,True,male,1797.0,1888.0,Deutschland (XA-DE),Politiker,1.0
14184,"Hull, Johannes",,False,,,,,,
14199,"Barthel, Gustav Emil",http://d-nb.info/116068388,True,male,1835.0,1906.0,Deutschland (XA-DE),Schriftsteller + Buchhändler,2.0
14205,"Walling, Günther",https://d-nb.info/gnd/117291021,True,male,1839.0,1896.0,Deutschland (XA-DE),Schriftsteller,1.0
14255,"Lohmann, Richard",,False,,,,,,
