year,06_03_Gattungen_Ballade,06_03_Gattungen_Rollengedicht,06_03_Gattungen_Lied,06_03_Gattungen_Keine Gattung,06_04_Haeufigste_Stoffgebiete_Militär/Krieg,06_04_Haeufigste_Stoffgebiete_Politik,06_04_Haeufigste_Stoffgebiete_Religion,06_04_Haeufigste_Stoffgebiete_Tod,06_05_Entitaeten_Bekanntes Individuum,06_05_Entitaeten_Unbekanntes Individuum,06_05_Entitaeten_Kollektiv,06_05_Entitaeten_Nicht-menschliche Entität,06_06_Behandelte_Epochen_vor 500,06_06_Behandelte_Epochen_500 bis 1499,06_06_Behandelte_Epochen_ab 1500,06_07_Deutungen_Heroismus,06_07_Deutungen_Nationalismus,06_07_Deutungen_Religiosität,06_08_Geschichtstheorie_Geschichtstheorie,06_08_Geschichtstheorie_Überlieferung,06_08_Geschichtstheorie_Geschichtsauffassung,06_09_Geschichtsmarker_gesamt_Alle Marker,06_09_Geschichtsmarker_gesamt_Marker im Text,06_09_Geschichtsmarker_gesamt_Marker im Titel,06_10_Konkretheit_in hohem Maß konkret,06_10_Konkretheit_in mittlerem Maß konkret,06_10_Konkretheit_in geringem Maß/<br>gar nicht konkret
1855,0.7039911115254345,0.0765877947535157,0.0707789117580364,0.1587407007669269,0.2753032108751045,0.1323481213746137,0.149411311375626,0.0715951665540774,0.5672787760483229,0.1315782522507295,0.2678257057460353,0.0333172659549125,0.1124560388940227,0.3547558787846747,0.5267014094316935,0.295845595835103,0.0761518824199354,0.2070508218670241,0.0272185054507096,0.2138060802323517,0.0401543422852903,2.071790335076189,2.01717399809696,0.7604634684041253,0.8354562301158243,0.1522172878478029,0.0123264820363727
1856,0.7078267597869704,0.0831098846997086,0.0728498964825973,0.1537157967191862,0.2846949237841722,0.131175682840874,0.1393345561385424,0.0743397625656455,0.5677735228464698,0.1318472471151555,0.2676887578626771,0.0326904721756975,0.1132935027643931,0.3531944913810881,0.5291594562856229,0.300904261827791,0.0750197397123028,0.2054377297360686,0.0254122685442872,0.2095598190755437,0.0406389619080004,2.0506586829039146,2.000782273784108,0.7650584939298294,0.8470129328762284,0.1448929213927994,0.0080941457309723
1857,0.6961007600966974,0.0882011090936624,0.0756074604352855,0.1574166582214068,0.285006435048912,0.1312693057350221,0.1389593764364195,0.0695394476877463,0.5602449232182939,0.1331506544699775,0.2683642054862482,0.0382402168254804,0.133726912295411,0.3444239060458768,0.5174795300743252,0.305197511440864,0.0725610378134324,0.2010436957047943,0.0256591261679601,0.2091527312147963,0.0383656142009877,2.031898790696113,1.9886939286706546,0.7556518380108191,0.8431697312192316,0.1477781865601668,0.0090520822206015
1858,0.6916180600514117,0.0959562611283155,0.0793244703219943,0.1565991574981462,0.2978187065218849,0.1230574397909182,0.1379880909715201,0.0734735812897334,0.5588107681049126,0.1302540783760118,0.2721786524333113,0.0387565010857642,0.135780146906028,0.3462005243961147,0.5134286396261224,0.313168856538822,0.0771130756816655,0.2008884495335406,0.0223115766865412,0.2104280159024265,0.0369442755242015,2.043931562322356,2.0038279079490535,0.7638156811454732,0.850936626427116,0.1433884771292544,0.0056748964436293
1859,0.6785606418973132,0.10188097017955,0.0737662902714763,0.1651842520510469,0.3161325731449946,0.1179509427315989,0.1362139648834018,0.0758841182692522,0.5526165369702659,0.1311803897268964,0.2765876034180866,0.039615469884751,0.1339123565280089,0.3555012224359853,0.5040675495263154,0.319448596947748,0.0839563536429588,0.1932303583097659,0.0198874320763457,0.2132520137590566,0.0384624159836931,2.0563417388218674,2.0006226750208245,0.7642682748543219,0.855128271332849,0.1391163121517704,0.0057554165153807
1860,0.6787387875453353,0.0949302410335746,0.0735830489331077,0.1722911220774547,0.3241126301442467,0.1046692450897363,0.1330473606097521,0.0801842883958838,0.5547355221196407,0.1259289590706395,0.2795976609257082,0.0397378578840115,0.1290884366585123,0.3558309259292495,0.5099675948120186,0.3255556033414318,0.0895926402949964,0.1900722098893978,0.0189248378577511,0.2023996042851283,0.0355137344837914,2.048752053664898,1.9949236677485462,0.7628644095913102,0.8676835150040519,0.1255141191908734,0.0068023658050748
1861,0.6702174902256025,0.0921198099469778,0.0738844122739045,0.1777798311956962,0.330916653645923,0.109376869665025,0.1192381999006317,0.0798102480047664,0.5419322893226729,0.1311774673936051,0.2831643136820477,0.0437259296016744,0.1279762238850252,0.3417506690454552,0.5253333660707826,0.33009874632441,0.0971690833469609,0.1910333593969731,0.0178367582991814,0.2221335483342105,0.046151544446103,2.0863847635053414,2.0222337851330403,0.7540427522362023,0.8624911475068506,0.1263309228039172,0.0111779296892322
1862,0.6547466294897922,0.0917129037420603,0.0669847112782284,0.1933714671473299,0.318945807286836,0.111484908559049,0.1207815553150736,0.0767532648849247,0.5437393426542929,0.1319011327614472,0.27582732235955,0.0485322022247097,0.1450484373084331,0.3322721935879986,0.517860736358178,0.3209195156471295,0.0971385679677988,0.1915455476426819,0.0157987188323919,0.2240960690296665,0.0458097128551177,2.1113514102632256,2.0410007956488174,0.7587527843152875,0.8487272333389456,0.1373480822752553,0.0139246843857989
1863,0.656415684700929,0.0906338812579452,0.0662455055448808,0.1939110026337756,0.3154794060184556,0.1150894599403187,0.1192123584800116,0.0813245617895619,0.5348638742516366,0.1311994041561339,0.2831619971602784,0.050774724431951,0.1519961287655596,0.3476934516749156,0.4953020692732089,0.3229763001060137,0.0891709335921098,0.1769161459111692,0.018360571613075,0.226473763415706,0.0464110194182408,2.1360363789720234,2.0548204346600634,0.7469217836800677,0.8524545677999176,0.1323458548112355,0.0151995773888466
1864,0.6561163677273879,0.0936844419307663,0.0583820586970237,0.1896640749966539,0.3031434035678653,0.1176057568008192,0.1115009621286531,0.0898263591486626,0.5322482145529924,0.1326968563189903,0.2841613250537235,0.0508936040742937,0.167347872216727,0.353567687927094,0.4740212981669851,0.3012422433135807,0.0837908837428912,0.1635839486676359,0.0208289544396394,0.2330357231225817,0.0497438416273604,2.1718271796332522,2.0862392689485025,0.7495744503387783,0.8529714808300862,0.1309495364079758,0.0160789827619378
